库/主题,子类(为何是一组),条目,标识,备注
IARC 致癌分级,复合化疗方案(烷化剂等一组),MOPP and other combined chemotherapy including alkylating agents,CAS=-  分级=1,
IARC 致癌分级,一组黄曲霉毒素同系物,Aflatoxins,CAS=1402-68-2  分级=1,
IARC 致癌分级,补骨脂素光疗组合,Angelicin plus ultraviolet A radiation,CAS=523-50-2  分级=3,
IARC 致癌分级,含马兜铃酸的植物类(一组草药),"Aristolochic acid, plants containing",CAS=313-67-7  分级=1,
IARC 致癌分级,砷及其无机化合物组,Arsenic and inorganic arsenic compounds,CAS=7440-38-2  分级=1,
IARC 致癌分级,一组有机砷化合物,Arsenobetaine and other organic arsenic compounds that are not metabolized in humans,CAS=64436-13-1  分级=3,
IARC 致癌分级,铍及其他合物组,Beryllium and beryllium compounds,CAS=7440-41-7  分级=1,
IARC 致癌分级,博来霉素类一组,Bleomycins,CAS=11056-06-7  分级=2B,
IARC 致癌分级,镉及其他合物组,Cadmium and cadmium compounds,CAS=7440-43-9  分级=1,
IARC 致癌分级,特定多壁碳纳米管(材料类),"Carbon nanotubes, multiwalled MWCNT-7",CAS=308068-56-6  分级=2B,
IARC 致癌分级,除MWCNT-7外多壁碳纳米管组,"Carbon nanotubes, multiwalled, other than MWCNT-7",CAS=308068-56-6  分级=3,
IARC 致癌分级,单壁碳纳米管组,"Carbon nanotubes, single-walled",CAS=308068-56-6  分级=3,
IARC 致癌分级,三价铬化合物组,Chromium (III) compounds,CAS=16065-83-1  分级=3,
IARC 致癌分级,六价铬化合物组,Chromium (VI) compounds,CAS=18540-29-9  分级=1,
IARC 致癌分级,钴及其他合物组,Cobalt and cobalt compounds,CAS=7440-48-4  分级=2B,
IARC 致癌分级,可溶性钴盐组,Cobalt sulfate and other soluble cobalt(II) salts,CAS=10026-24-1  分级=2B,
IARC 致癌分级,环磺酸盐甜味剂组,Cyclamates (sodium cyclamate),CAS=139-05-9  分级=3,
IARC 致癌分级,联合化疗方案,Etoposide in combination with cisplatin and bleomycin,"CAS=33419-42-0, 15663-27-1, 11056-06-7  分级=1",
IARC 致癌分级,无机氟化物组,"Fluorides (inorganic, used in drinking-water)",CAS=16984-48-8  分级=3,
